machine_id,anomaly_name,attribute_name,min_value_anomaly,max_value_anomaly
scale-iq571,drift,weight_kg,500,600
scale-iq571,drift,stability,50,70
mixer-x2oq0,blade_jam,rpm,0,10
mixer-x2oq0,blade_jam,torque_nm,80,120
mixer-x2oq0,overheating,temperature,60,80
mix_cooker-o1cxt,burn,temperature,100,130
mix_cooker-o1cxt,stall,stirring_rpm,0,5
mix_cooker-lrf2t,burn,temperature,100,130
mix_cooker-lrf2t,stall,stirring_rpm,0,5
mix_cooker-91wee,burn,temperature,100,130
mix_cooker-91wee,stall,stirring_rpm,0,5
pasteurizer-eg6hr,overheating,temperature,95,110
pasteurizer-eg6hr,pressure_drop,pressure,0.5,1
homogenizer-q1fg5,valve_failure,pressure_bar,10,30
homogenizer-q1fg5,valve_failure,particle_size_um,5,20
aging_tank-lsm0t,temp_rise,temperature,10,18
aging_tank-lsm0t,overflow,level_pct,98,100
aging_tank-bbh63,temp_rise,temperature,10,18
aging_tank-bbh63,overflow,level_pct,98,100
blast_freezer-gfya3,compressor_fail,temperature,-5,0
blast_freezer-gfya3,compressor_fail,air_speed_ms,0,0.5
storage_freezer-tz0as,door_stuck,door_open,1,1
storage_freezer-tz0as,door_stuck,temperature,-10,0
storage_freezer-2on53,door_stuck,door_open,1,1
storage_freezer-2on53,door_stuck,temperature,-10,0
cold_room-qi5wu,defrost_failure,temperature,-5,5
cold_room-qi5wu,overload,occupancy_pct,100,100
batch_freezer-yrsue,motor_failure,dasher_rpm,0,20
batch_freezer-yrsue,freeze_lock,temperature,-25,-20
batch_freezer-qcbz5,motor_failure,dasher_rpm,0,20
batch_freezer-qcbz5,freeze_lock,temperature,-25,-20
