machine_id,attribute_name,min_value,max_value
scale-iq571,weight_kg,0.1,500
scale-iq571,tare_kg,0,5
scale-iq571,stability,95,100
mixer-x2oq0,rpm,60,300
mixer-x2oq0,temperature,20,45
mixer-x2oq0,torque_nm,5,50
mix_cooker-o1cxt,temperature,60,85
mix_cooker-o1cxt,stirring_rpm,30,120
mix_cooker-o1cxt,viscosity,2,8
mix_cooker-lrf2t,temperature,60,85
mix_cooker-lrf2t,stirring_rpm,30,120
mix_cooker-lrf2t,viscosity,2,8
mix_cooker-91wee,temperature,60,85
mix_cooker-91wee,stirring_rpm,30,120
mix_cooker-91wee,viscosity,2,8
pasteurizer-eg6hr,temperature,72,85
pasteurizer-eg6hr,pressure,2,3.5
pasteurizer-eg6hr,flow_rate,100,200
homogenizer-q1fg5,pressure_bar,150,250
homogenizer-q1fg5,flow_rate,50,150
homogenizer-q1fg5,particle_size_um,0.5,2
aging_tank-lsm0t,temperature,2,5
aging_tank-lsm0t,agitation_rpm,5,20
aging_tank-lsm0t,level_pct,20,95
aging_tank-bbh63,temperature,2,5
aging_tank-bbh63,agitation_rpm,5,20
aging_tank-bbh63,level_pct,20,95
blast_freezer-gfya3,temperature,-35,-25
blast_freezer-gfya3,air_speed_ms,3,8
blast_freezer-gfya3,core_temp,-18,-10
storage_freezer-tz0as,temperature,-25,-18
storage_freezer-tz0as,humidity_pct,60,85
storage_freezer-tz0as,door_open,0,0
storage_freezer-2on53,temperature,-25,-18
storage_freezer-2on53,humidity_pct,60,85
storage_freezer-2on53,door_open,0,0
cold_room-qi5wu,temperature,-22,-18
cold_room-qi5wu,humidity_pct,70,90
cold_room-qi5wu,occupancy_pct,0,100
batch_freezer-yrsue,temperature,-8,-4
batch_freezer-yrsue,dasher_rpm,150,300
batch_freezer-yrsue,overrun_pct,30,100
batch_freezer-qcbz5,temperature,-8,-4
batch_freezer-qcbz5,dasher_rpm,150,300
batch_freezer-qcbz5,overrun_pct,30,100
